Age,Gender,Location,Income,Debt,Owns Home,Profession,Demographics,Platform,Total Time Spent,Video Category,Owns Car
56,Male,Pakistan,82812,TRUE,TRUE,Engineer,Rural,Instagram,80,Pranks,TRUE
46,Female,Mexico,27999,FALSE,TRUE,Artist,Urban,Instagram,228,Pranks,TRUE
32,Female,United States,42436,FALSE,TRUE,Engineer,Rural,Facebook,30,Vlogs,TRUE
60,Male,Barzil,62963,TRUE,FALSE,Waiting staff,Rural,YouTube,101,Vlogs,FALSE
25,Male,Pakistan,22096,FALSE,TRUE,Manager,Urban,TikTok,136,Gaming,TRUE
38,Male,Vietnam,45279,FALSE,FALSE,driver,Urban,Instagram,89,Jokes/Memes,FALSE
56,Male,India,46201,FALSE,FALSE,Students,Rural,TikTok,247,Vlogs,FALSE
36,Male,Barzil,39715,FALSE,FALSE,Engineer,Rural,Instagram,191,Entertainment,FALSE
40,Male,United States,49309,FALSE,FALSE,Waiting staff,Rural,Instagram,34,Vlogs,FALSE
28,Other,United States,35078,FALSE,FALSE,Students,Rural,YouTube,165,ASMR,FALSE
28,Male,Indonesia,76614,TRUE,TRUE,Manager,Rural,Instagram,14,Pranks,TRUE
41,Other,Philippines,25105,FALSE,FALSE,Labor/Worker,Urban,TikTok,129,Life Hacks,FALSE
53,Male,Japan,22839,FALSE,FALSE,Waiting staff,Rural,Instagram,286,Gaming,FALSE
57,Male,Indonesia,88920,TRUE,TRUE,Waiting staff,Rural,Facebook,27,Vlogs,TRUE
41,Other,Vietnam,63619,TRUE,TRUE,Cashier,Rural,YouTube,207,Gaming,TRUE
20,Female,Philippines,62821,TRUE,TRUE,Students,Rural,YouTube,66,Entertainment,TRUE
39,Female,Mexico,33493,FALSE,FALSE,Waiting staff,Rural,Facebook,102,ASMR,FALSE
19,Female,Barzil,37069,FALSE,FALSE,Students,Rural,Facebook,28,ASMR,FALSE
41,Other,Japan,27531,FALSE,FALSE,Labor/Worker,Rural,Facebook,202,Pranks,FALSE
61,Male,United States,57051,TRUE,TRUE,Labor/Worker,Urban,Instagram,246,Vlogs,TRUE
47,Male,India,27736,FALSE,FALSE,Waiting staff,Rural,YouTube,286,Vlogs,FALSE
55,Male,Barzil,27710,FALSE,FALSE,driver,Rural,Facebook,236,Entertainment,FALSE
19,Female,Indonesia,87155,TRUE,FALSE,Students,Rural,Instagram,242,Entertainment,FALSE
38,Female,India,33975,FALSE,FALSE,Waiting staff,Urban,Facebook,49,Pranks,FALSE
50,Male,Germany,82424,TRUE,TRUE,Waiting staff,Rural,TikTok,162,Jokes/Memes,TRUE
29,Male,Japan,65603,TRUE,FALSE,Labor/Worker,Urban,TikTok,136,Jokes/Memes,FALSE
39,Male,Japan,43252,FALSE,TRUE,Students,Rural,YouTube,246,Gaming,TRUE
61,Other,Vietnam,21431,FALSE,FALSE,Manager,Urban,Instagram,64,Life Hacks,FALSE
42,Female,India,94603,TRUE,TRUE,Labor/Worker,Rural,TikTok,181,Entertainment,TRUE
44,Male,India,57481,TRUE,FALSE,driver,Urban,TikTok,118,Pranks,FALSE
59,Male,United States,29557,FALSE,TRUE,driver,Rural,Instagram,193,Pranks,TRUE
45,Male,United States,94971,TRUE,FALSE,Students,Rural,Facebook,207,Jokes/Memes,FALSE
33,Male,India,20162,FALSE,TRUE,Labor/Worker,Rural,Instagram,96,Trends,TRUE
32,Other,Mexico,54742,TRUE,FALSE,Waiting staff,Rural,Facebook,210,Trends,FALSE
64,Female,Vietnam,39675,FALSE,TRUE,Students,Rural,TikTok,284,Entertainment,TRUE
61,Other,Mexico,93997,TRUE,FALSE,Students,Urban,TikTok,220,Jokes/Memes,FALSE
20,Male,United States,37015,FALSE,TRUE,Labor/Worker,Rural,TikTok,127,Entertainment,TRUE
54,Male,Philippines,70057,TRUE,FALSE,Students,Urban,YouTube,200,Jokes/Memes,FALSE
24,Male,Barzil,52591,TRUE,TRUE,Cashier,Rural,YouTube,51,Jokes/Memes,TRUE
38,Male,Germany,29833,FALSE,FALSE,Students,Rural,YouTube,51,ASMR,FALSE
26,Male,Pakistan,27896,FALSE,TRUE,Waiting staff,Urban,Instagram,285,Comedy,TRUE
56,Male,India,52972,TRUE,FALSE,Students,Urban,TikTok,26,ASMR,FALSE
35,Other,Indonesia,69733,TRUE,TRUE,Cashier,Rural,TikTok,292,Life Hacks,TRUE
21,Female,Pakistan,61800,TRUE,FALSE,Waiting staff,Rural,Instagram,267,Gaming,FALSE
42,Other,Philippines,25347,FALSE,TRUE,Labor/Worker,Urban,YouTube,72,Gaming,TRUE
31,Female,Pakistan,79063,TRUE,FALSE,Waiting staff,Rural,Instagram,71,Comedy,FALSE
26,Male,Vietnam,22643,FALSE,TRUE,Labor/Worker,Rural,YouTube,109,Trends,TRUE
43,Male,Japan,60785,TRUE,TRUE,Students,Rural,TikTok,28,Pranks,TRUE
19,Female,India,38681,FALSE,TRUE,Students,Rural,Facebook,26,Trends,TRUE
37,Male,United States,70026,TRUE,TRUE,Students,Urban,YouTube,255,Life Hacks,TRUE
45,Female,United States,35892,FALSE,FALSE,Waiting staff,Rural,TikTok,260,Entertainment,FALSE
64,Other,Mexico,67299,TRUE,TRUE,driver,Rural,TikTok,90,Entertainment,TRUE
24,Male,Germany,37073,FALSE,FALSE,Students,Rural,Facebook,48,Pranks,FALSE
61,Male,Vietnam,50682,TRUE,FALSE,driver,Rural,TikTok,45,Trends,FALSE
25,Other,India,34289,FALSE,FALSE,Cashier,Rural,TikTok,206,Life Hacks,FALSE
64,Male,Japan,27927,FALSE,FALSE,Manager,Rural,YouTube,167,Life Hacks,FALSE
52,Male,Indonesia,68330,TRUE,FALSE,Labor/Worker,Rural,YouTube,213,Jokes/Memes,FALSE
31,Male,United States,86707,TRUE,TRUE,Waiting staff,Rural,Facebook,205,Entertainment,TRUE
34,Male,Vietnam,97454,TRUE,FALSE,Waiting staff,Rural,Facebook,225,Vlogs,FALSE
53,Male,Japan,85428,TRUE,FALSE,driver,Urban,TikTok,294,Life Hacks,FALSE
57,Female,Germany,70601,TRUE,TRUE,driver,Rural,YouTube,205,Entertainment,TRUE
21,Other,United States,97465,TRUE,TRUE,Waiting staff,Urban,Facebook,161,Jokes/Memes,TRUE
19,Male,United States,22539,FALSE,TRUE,Waiting staff,Rural,Facebook,23,Entertainment,TRUE
23,Male,Vietnam,42669,FALSE,FALSE,Students,Rural,Instagram,155,ASMR,FALSE
